view,like,danmaku,reply,favorite,coin,share,point
1786033,61904,19480,10068,26729,14698,36498,1476313
1501522,73251,22224,6968,32431,56618,70673,1370565
1453624,91273,14343,5500,6973,36970,1558,1125397
1057354,58874,4512,1761,30266,10375,6397,1030930
1421814,100292,10995,3609,11349,44068,1206,988167
1307898,33208,3319,6947,9628,11902,31148,983826
1211750,65105,31823,4194,3496,16215,1269,891464
1125788,29853,4017,7177,7156,10380,31612,888420
1126815,69819,2192,3027,8064,33184,9172,798223
880636,40097,1877,723,16489,23943,11261,760413
1048382,41488,5931,3041,2666,14460,1885,720293
992695,20493,956,640,7798,3413,939,653943
749700,65787,7188,2085,9655,29859,1122,648087
484590,61612,4714,3632,14812,45164,1312,632630
609704,53068,3319,1073,14213,36450,4242,602768
765256,32058,5532,1725,5459,8293,1444,600026
701206,31316,372,968,11331,3256,8603,589702
554326,91113,3218,2434,12445,149816,705,560550
671655,22990,5304,839,4232,13463,940,556843
897495,41657,1972,963,2673,4891,1570,546394
612650,57405,3056,1748,9473,14885,5795,545083
665334,543,2687,4245,7,8460,593,501090
408395,44245,2543,1095,15628,45552,639,501059
572551,64212,1234,1012,9154,68559,763,493277
541747,83446,4484,1335,8958,59090,1677,492577
574080,39359,5003,1073,4290,24002,2942,466185
787529,15769,1521,2056,3420,569,558,455391
348889,21624,613,421,16519,11218,594,454987
423145,18093,6259,2264,5345,17135,3183,454149
578175,26669,1970,1706,2073,3421,657,448779
358166,10858,23144,4617,1815,4776,1633,446107
452363,29012,13683,1413,3703,16062,889,444033
400089,21550,3999,1078,7108,15042,2418,417222
413669,15357,1056,716,11203,4940,6110,415402
514691,28922,807,853,4877,20027,1178,409969
341138,27305,4438,1253,8258,12919,2645,406726
457579,33404,5022,1135,5321,11165,783,406008
400378,30343,4312,1509,6576,18830,1091,405189
280104,37536,1693,1485,14883,35020,2142,402722
291976,36372,3947,1349,14766,47375,963,400585
482897,43911,4797,1179,3416,15734,676,398079
770703,5073,1087,2332,1934,494,12436,398049
465498,27812,1596,1363,3877,10461,821,394892
332805,18931,3496,2129,10002,15614,3149,389576
448812,12136,2186,1025,6739,6734,7753,389255
397820,41450,4241,2138,6285,60912,443,383306
442039,50488,7411,1720,4543,13961,478,382392
420906,11712,1065,1853,5326,977,5160,375030
432150,8073,1630,691,6197,2452,7756,372304
403417,15604,11198,1890,3184,9799,1912,358852
383923,33204,2656,716,6183,22275,2675,356384
313553,23572,1579,680,9463,8886,4962,349875
